usd,name,synergy,type,mana_cost,colors,produced_mana,power,tough,keywords,rarity,text,rank,png,art,url
0.37,Haven of the Spirit Dragon,2277.6,Land,,,"B,C,G,R,U,W",,,,rare,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a Dragon creature spell.
{2}, {T}, Sacrifice this land: Return target Dragon creature card or Ugin planeswalker card from your graveyard to your hand.",1115,https://cards.scryfall.io/png/front/d/0/d0c552da-874e-49eb-b221-47220b8b7786.png?1743207602,https://cards.scryfall.io/art_crop/front/d/0/d0c552da-874e-49eb-b221-47220b8b7786.jpg?1743207602,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624974%3Fpage%3D1
4.88,Hellkite Courser,1007.6,Creature — Dragon,{4}{R}{R},R,,6,5,Flying,mythic,"Flying
When this creature enters, you may put a commander you own from the command zone onto the battlefield. It gains haste. Return it to the command zone at the beginning of the next end step.",2415,https://cards.scryfall.io/png/front/d/3/d33eca2e-fef0-42fd-9970-46d5bdb4bd4b.png?1743206696,https://cards.scryfall.io/art_crop/front/d/3/d33eca2e-fef0-42fd-9970-46d5bdb4bd4b.jpg?1743206696,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624934%3Fpage%3D1
4.93,Herald's Horn,4441.4,Artifact,{3},,,,,,uncommon,"As this artifact enters, choose a creature type.
Creature spells you cast of the chosen type cost {1} less to cast.
At the beginning of your upkeep, look at the top card of your library. If it's a creature card of the chosen type, you may reveal it and put it into your hand.",127,https://cards.scryfall.io/png/front/4/b/4bfa71d4-4125-4404-9c24-979401bae592.png?1698988513,https://cards.scryfall.io/art_crop/front/4/b/4bfa71d4-4125-4404-9c24-979401bae592.jpg?1698988513,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F525784%3Fpage%3D1
12.58,Heroic Intervention,10731.6,Instant,{1}{G},G,,,,,rare,Permanents you control gain hexproof and indestructible until end of turn.,34,https://cards.scryfall.io/png/front/e/3/e32c67d1-187f-40df-b3b3-6036f5c92834.png?1689998584,https://cards.scryfall.io/art_crop/front/e/3/e32c67d1-187f-40df-b3b3-6036f5c92834.jpg?1689998584,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F503556%3Fpage%3D1
0.32,Hinterland Harbor,4559.2,Land,,,"G,U",,,,rare,"This land enters tapped unless you control a Forest or an Island.
{T}: Add {G} or {U}.",118,https://cards.scryfall.io/png/front/3/e/3eb512f5-9782-4c49-9b6e-4e967e42408b.png?1743207610,https://cards.scryfall.io/art_crop/front/3/e/3eb512f5-9782-4c49-9b6e-4e967e42408b.jpg?1743207610,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624466%3Fpage%3D1
1.07,Ignoble Hierarch,5113.6,Creature — Goblin Shaman,{G},G,"B,G,R",0,1,Exalted,rare,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{T}: Add {B}, {R}, or {G}.",587,https://cards.scryfall.io/png/front/a/b/aba51852-af8f-49d8-8fb6-22d52a1742b8.png?1626097603,https://cards.scryfall.io/art_crop/front/a/b/aba51852-af8f-49d8-8fb6-22d52a1742b8.jpg?1626097603,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F239801%3Fpage%3D1
18.03,Indatha Triome,11244.8,Land — Plains Swamp Forest,,,"B,G,W",,,Cycling,rare,"({T}: Add {W}, {B}, or {G}.)
This land enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",390,https://cards.scryfall.io/png/front/2/b/2b74bb81-fb9a-40e5-a941-e517430b52f5.png?1636491374,https://cards.scryfall.io/art_crop/front/2/b/2b74bb81-fb9a-40e5-a941-e517430b52f5.jpg?1636491374,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F212689%3Fpage%3D1
0.4,Isolated Chapel,2808.3,Land,,,"B,W",,,,rare,"This land enters tapped unless you control a Plains or a Swamp.
{T}: Add {W} or {B}.",117,https://cards.scryfall.io/png/front/2/3/2358a441-4ef7-469c-bb9c-c6ff4d719658.png?1743207621,https://cards.scryfall.io/art_crop/front/2/3/2358a441-4ef7-469c-bb9c-c6ff4d719658.jpg?1743207621,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624317%3Fpage%3D1
0.38,Izzet Signet,3684.8,Artifact,{2},,"R,U",,,,common,"{1}, {T}: Add {U}{R}.",131,https://cards.scryfall.io/png/front/2/c/2c747a97-9070-4c1e-b7b7-52637fbb30e1.png?1743207322,https://cards.scryfall.io/art_crop/front/2/c/2c747a97-9070-4c1e-b7b7-52637fbb30e1.jpg?1743207322,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624200%3Fpage%3D1
12.54,Jetmir's Garden,9605.2,Land — Mountain Forest Plains,,,"G,R,W",,,Cycling,rare,"({T}: Add {R}, {G}, or {W}.)
This land enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",308,https://cards.scryfall.io/png/front/2/6/26d40e03-6de4-4373-9fbf-04c1dd79e995.png?1664414440,https://cards.scryfall.io/art_crop/front/2/6/26d40e03-6de4-4373-9fbf-04c1dd79e995.jpg?1664414440,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F265346%3Fpage%3D1
0.3,Jungle Shrine,5376,Land,,,"G,R,W",,,,uncommon,"This land enters tapped.
{T}: Add {R}, {G}, or {W}.",288,https://cards.scryfall.io/png/front/1/9/194c6ee7-c220-41a5-bf44-5e1d8d92879b.png?1712355055,https://cards.scryfall.io/art_crop/front/1/9/194c6ee7-c220-41a5-bf44-5e1d8d92879b.jpg?1712355055,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F545062%3Fpage%3D1
3.55,Kaalia of the Vast,2598,Legendary Creature — Human Cleric,{1}{R}{W}{B},"B,R,W",,2,2,Flying,mythic,"Flying
Whenever Kaalia attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.",3357,https://cards.scryfall.io/png/front/e/7/e71c8c39-3fbb-4a42-9cf6-b3224f5a56fc.png?1717013745,https://cards.scryfall.io/art_crop/front/e/7/e71c8c39-3fbb-4a42-9cf6-b3224f5a56fc.jpg?1717013745,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F552317%3Fpage%3D1
0.43,Karplusan Forest,445.4,Land,,,"C,G,R",,,,rare,"{T}: Add {C}.
{T}: Add {R} or {G}. This land deals 1 damage to you.",279,https://cards.scryfall.io/png/front/2/b/2b45e8e8-4484-4c62-b507-5edb98d77f54.png?1743207626,https://cards.scryfall.io/art_crop/front/2/b/2b45e8e8-4484-4c62-b507-5edb98d77f54.jpg?1743207626,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624975%3Fpage%3D1
15.28,Ketria Triome,10740,Land — Forest Island Mountain,,,"G,R,U",,,Cycling,rare,"({T}: Add {G}, {U}, or {R}.)
This land enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",329,https://cards.scryfall.io/png/front/a/2/a249b1f4-2b22-4b67-a207-e0c4ae95d2e1.png?1601241399,https://cards.scryfall.io/art_crop/front/a/2/a249b1f4-2b22-4b67-a207-e0c4ae95d2e1.jpg?1601241399,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F212697%3Fpage%3D1
6.58,Kindred Discovery,4338.4,Enchantment,{3}{U}{U},U,,,,,rare,"As this enchantment enters, choose a creature type.
Whenever a creature you control of the chosen type enters or attacks, draw a card.",317,https://cards.scryfall.io/png/front/8/d/8d264ad1-10a3-41ba-9740-48f2c07a0ec3.png?1698988160,https://cards.scryfall.io/art_crop/front/8/d/8d264ad1-10a3-41ba-9740-48f2c07a0ec3.jpg?1698988160,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F526081%3Fpage%3D1
0.15,Kishla Skimmer,655.5,Creature — Bird Scout,{G}{U},"G,U",,2,2,Flying,uncommon,"Flying
Whenever a card leaves your graveyard during your turn, draw a card. This ability triggers only once each turn.",10930,https://cards.scryfall.io/png/front/b/5/b5f1acb0-d73e-4814-8158-3645daf5c4cc.png?1743204788,https://cards.scryfall.io/art_crop/front/b/5/b5f1acb0-d73e-4814-8158-3645daf5c4cc.jpg?1743204788,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624404%3Fpage%3D1
0.93,Kodama's Reach,12909.6,Sorcery — Arcane,{2}{G},G,,,,,common,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",33,https://cards.scryfall.io/png/front/8/4/84c27ded-a0f6-4965-8a44-e87f0972d1d8.png?1743206957,https://cards.scryfall.io/art_crop/front/8/4/84c27ded-a0f6-4965-8a44-e87f0972d1d8.jpg?1743206957,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624958%3Fpage%3D1
0.19,Lapis Orb of Dragonkind,1260,Artifact,{2}{U},U,U,,,Scry,common,"{T}: Add {U}. When you spend this mana to cast a Dragon creature spell, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",4873,https://cards.scryfall.io/png/front/2/6/26ed684b-e3a1-421d-8cfd-c5eee673a3a1.png?1674135651,https://cards.scryfall.io/art_crop/front/2/6/26ed684b-e3a1-421d-8cfd-c5eee673a3a1.jpg?1674135651,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272971%3Fpage%3D1
2.69,Life from the Loam,823.2,Sorcery,{1}{G},G,,,,"Dredge,Mill",rare,"Return up to three target land cards from your graveyard to your hand.
Dredge 3 (If you would draw a card, you may mill three cards instead. If you do, return this card from your graveyard to your hand.)",748,https://cards.scryfall.io/png/front/c/d/cdb6432f-3f56-4c92-b09a-2a5b64620c04.png?1743206055,https://cards.scryfall.io/art_crop/front/c/d/cdb6432f-3f56-4c92-b09a-2a5b64620c04.jpg?1743206055,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624487%3Fpage%3D1
3.86,Lightning Greaves,10104.6,Artifact — Equipment,{2},,,,,Equip,uncommon,"Equipped creature has haste and shroud. (It can't be the target of spells or abilities.)
Equip {0}",13,https://cards.scryfall.io/png/front/8/b/8b59b12c-fde5-4f19-a357-e09f06f490cc.png?1743206077,https://cards.scryfall.io/art_crop/front/8/b/8b59b12c-fde5-4f19-a357-e09f06f490cc.jpg?1743206077,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624339%3Fpage%3D1
1.09,Living Death,1501.5,Sorcery,{3}{B}{B},B,,,,,rare,"Each player exiles all creature cards from their graveyard, then sacrifices all creatures they control, then puts all cards they exiled this way onto the battlefield.",474,https://cards.scryfall.io/png/front/4/a/4ac29c46-f8ee-42ba-a98c-d785ba65485e.png?1743206520,https://cards.scryfall.io/art_crop/front/4/a/4ac29c46-f8ee-42ba-a98c-d785ba65485e.jpg?1743206520,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624424%3Fpage%3D1
0.73,Llanowar Wastes,2524.5,Land,,,"B,C,G",,,,rare,"{T}: Add {C}.
{T}: Add {B} or {G}. This land deals 1 damage to you.",162,https://cards.scryfall.io/png/front/9/c/9cb4ae53-8a0d-4eaf-900a-1ee6ec20a5df.png?1743207638,https://cards.scryfall.io/art_crop/front/9/c/9cb4ae53-8a0d-4eaf-900a-1ee6ec20a5df.jpg?1743207638,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624468%3Fpage%3D1
,Lord Windgrace,336,Legendary Planeswalker — Windgrace,{2}{B}{R}{G},"B,G,R",,,,,mythic,"+2: Discard a card, then draw a card. If a land card is discarded this way, draw an additional card.
−3: Return up to two target land cards from your graveyard to the battlefield.
−11: Destroy up to six target nonland permanents, then create six 2/2 green Cat Warrior creature tokens with forestwalk.
Lord Windgrace can be your commander.",5543,https://cards.scryfall.io/png/front/2/1/213d6fb8-5624-4804-b263-51f339482754.png?1592710275,https://cards.scryfall.io/art_crop/front/2/1/213d6fb8-5624-4804-b263-51f339482754.jpg?1592710275,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F170800%3Fpage%3D1
2.47,Lotus Cobra,275.4,Creature — Snake,{1}{G},G,"B,G,R,U,W",2,1,Landfall,rare,"Landfall — Whenever a land you control enters, add one mana of any color.",344,https://cards.scryfall.io/png/front/a/4/a4b759f0-901f-4be3-93fa-224609b08d48.png?1604199124,https://cards.scryfall.io/art_crop/front/a/4/a4b759f0-901f-4be3-93fa-224609b08d48.jpg?1604199124,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F221778%3Fpage%3D1
13.39,Luxury Suite,2211.2,Land,,,"B,R",,,,rare,"This land enters tapped unless you have two or more opponents.
{T}: Add {B} or {R}.",150,https://cards.scryfall.io/png/front/6/f/6fc5fc38-4054-4663-9061-df5455788c4a.png?1688006315,https://cards.scryfall.io/art_crop/front/6/f/6fc5fc38-4054-4663-9061-df5455788c4a.jpg?1688006315,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F267058%3Fpage%3D1
1.73,Maelstrom Nexus,782.1,Enchantment,{W}{U}{B}{R}{G},"B,G,R,U,W",,,,,mythic,"The first spell you cast each turn has cascade. (When you cast your first spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",3757,https://cards.scryfall.io/png/front/a/3/a3107767-6c36-4982-8e0d-e100d5fca204.png?1673305585,https://cards.scryfall.io/art_crop/front/a/3/a3107767-6c36-4982-8e0d-e100d5fca204.jpg?1673305585,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F283035%3Fpage%3D1
1.35,Maelstrom of the Spirit Dragon,1411.2,Land,,,"B,C,G,R,U,W",,,,rare,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a Dragon spell or an Omen spell.
{4}, {T}, Sacrifice this land: Search your library for a Dragon card, reveal it, put it into your hand, then shuffle.",8827,https://cards.scryfall.io/png/front/c/4/c4e90bfb-d9a5-48a9-9ff9-b0f50a813eee.png?1743205026,https://cards.scryfall.io/art_crop/front/c/4/c4e90bfb-d9a5-48a9-9ff9-b0f50a813eee.jpg?1743205026,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623886%3Fpage%3D1
42.81,Mana Drain,4655.7,Instant,{U}{U},U,C,,,,mythic,"Counter target spell. At the beginning of your next main phase, add an amount of {C} equal to that spell's mana value.",107,https://cards.scryfall.io/png/front/3/c/3c429c40-2389-41e5-8681-4bb274e25eba.png?1737917379,https://cards.scryfall.io/art_crop/front/3/c/3c429c40-2389-41e5-8681-4bb274e25eba.jpg?1737917379,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F276715%3Fpage%3D1
23.14,Marsh Flats,695.2,Land,,,,,,,rare,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.",46,https://cards.scryfall.io/png/front/9/d/9db3ba6d-eb7f-4f5b-9a3b-c6239c3baa42.png?1738703598,https://cards.scryfall.io/art_crop/front/9/d/9db3ba6d-eb7f-4f5b-9a3b-c6239c3baa42.jpg?1738703598,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F238608%3Fpage%3D1
0.49,Meren of Clan Nel Toth,1203.3,Legendary Creature — Human Shaman,{2}{B}{G},"B,G",,3,4,,mythic,"Whenever another creature you control dies, you get an experience counter.
At the beginning of your end step, choose target creature card in your graveyard. If that card's mana value is less than or equal to the number of experience counters you have, return it to the battlefield. Otherwise, put it into your hand.",1637,https://cards.scryfall.io/png/front/5/0/508b1442-bf2c-4ad6-9bcf-bd894e081ab6.png?1743207181,https://cards.scryfall.io/art_crop/front/5/0/508b1442-bf2c-4ad6-9bcf-bd894e081ab6.jpg?1743207181,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624498%3Fpage%3D1
24.79,Misty Rainforest,1757.4,Land,,,,,,,rare,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.",40,https://cards.scryfall.io/png/front/8/8/88231c0d-0cc8-44ec-bf95-81d1710ac141.png?1738703648,https://cards.scryfall.io/art_crop/front/8/8/88231c0d-0cc8-44ec-bf95-81d1710ac141.jpg?1738703648,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F238609%3Fpage%3D1
14.68,Morphic Pool,2849,Land,,,"B,U",,,,rare,"This land enters tapped unless you have two or more opponents.
{T}: Add {U} or {B}.",125,https://cards.scryfall.io/png/front/4/8/48e40927-dd87-42ed-b805-0ae8ba81f5fb.png?1687998152,https://cards.scryfall.io/art_crop/front/4/8/48e40927-dd87-42ed-b805-0ae8ba81f5fb.jpg?1687998152,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F267057%3Fpage%3D1
0.17,Mosswort Bridge,2745,Land,,,G,,,Hideaway,rare,"Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)
This land enters tapped.
{T}: Add {G}.
{G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater.",193,https://cards.scryfall.io/png/front/1/4/1490c0dc-06d6-45ee-af3c-2935b0ab1233.png?1743207654,https://cards.scryfall.io/art_crop/front/1/4/1490c0dc-06d6-45ee-af3c-2935b0ab1233.jpg?1743207654,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624978%3Fpage%3D1
20.53,Mox Jasper,1100.8,Legendary Artifact,{0},,"B,G,R,U,W",,,,mythic,{T}: Add one mana of any color. Activate only if you control a Dragon.,9671,https://cards.scryfall.io/png/front/a/8/a851d2d3-7e93-4887-bee5-4d6c9aaf9419.png?1743204975,https://cards.scryfall.io/art_crop/front/a/8/a851d2d3-7e93-4887-bee5-4d6c9aaf9419.jpg?1743204975,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F619643%3Fpage%3D1
0.07,Mystic Monastery,3637.2,Land,,,"R,U,W",,,,uncommon,"This land enters tapped.
{T}: Add {U}, {R}, or {W}.",409,https://cards.scryfall.io/png/front/c/7/c7b8a01c-c400-47c7-8270-78902efe850e.png?1743205034,https://cards.scryfall.io/art_crop/front/c/7/c7b8a01c-c400-47c7-8270-78902efe850e.jpg?1743205034,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624268%3Fpage%3D1
2.31,Nature's Lore,13160.4,Sorcery,{1}{G},G,,,,,uncommon,"Search your library for a Forest card, put that card onto the battlefield, then shuffle.",31,https://cards.scryfall.io/png/front/f/5/f5615c05-eb1e-4d27-a323-72d643d7c1d8.png?1706547171,https://cards.scryfall.io/art_crop/front/f/5/f5615c05-eb1e-4d27-a323-72d643d7c1d8.jpg?1706547171,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F535827%3Fpage%3D1
,Negate,6415.2,Instant,{1}{U},U,,,,,common,Counter target noncreature spell.,47,https://cards.scryfall.io/png/front/f/f/ff3b0dba-0207-4249-bdab-e807c76ce39e.png?1730572717,https://cards.scryfall.io/art_crop/front/f/f/ff3b0dba-0207-4249-bdab-e807c76ce39e.jpg?1730572717,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F589356%3Fpage%3D1
0.15,Nine-Fingers Keene,474.6,Legendary Creature — Human Rogue,{1}{B}{G}{U},"B,G,U",,4,4,"Menace,Ward",rare,"Menace
Ward—Pay 9 life.
Whenever Nine-Fingers Keene deals combat damage to a player, look at the top nine cards of your library. You may put a Gate card from among them onto the battlefield. Then if you control nine or more Gates, put the rest into your hand. Otherwise, put the rest on the bottom of your library in a random order.",6066,https://cards.scryfall.io/png/front/5/4/5480ac0a-883a-4f73-8e7c-56d64be410a3.png?1674137637,https://cards.scryfall.io/art_crop/front/5/4/5480ac0a-883a-4f73-8e7c-56d64be410a3.jpg?1674137637,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272941%3Fpage%3D1
0.71,Niv-Mizzet Reborn,397.6,Legendary Creature — Dragon Avatar,{W}{U}{B}{R}{G},"B,G,R,U,W",,6,6,Flying,mythic,"Flying
When Niv-Mizzet enters, reveal the top ten cards of your library. For each color pair, choose a card that's exactly those colors from among them. Put the chosen cards into your hand and the rest on the bottom of your library in a random order.",7196,https://cards.scryfall.io/png/front/5/6/56a2609d-b535-400b-81d9-72989a33c70f.png?1582037402,https://cards.scryfall.io/art_crop/front/5/6/56a2609d-b535-400b-81d9-72989a33c70f.jpg?1582037402,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F188514%3Fpage%3D1
0.1,Nomad Outpost,4179.6,Land,,,"B,R,W",,,,uncommon,"This land enters tapped.
{T}: Add {R}, {W}, or {B}.",372,https://cards.scryfall.io/png/front/a/6/a68fbeaa-941f-4d53-becd-f93ed22b9a54.png?1743205041,https://cards.scryfall.io/art_crop/front/a/6/a68fbeaa-941f-4d53-becd-f93ed22b9a54.jpg?1743205041,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624269%3Fpage%3D1
56.67,Old Gnawbone,3376.8,Legendary Creature — Dragon,{5}{G}{G},G,,7,7,"Flying,Treasure",mythic,"Flying
Whenever a creature you control deals combat damage to a player, create that many Treasure tokens.",695,https://cards.scryfall.io/png/front/7/7/77ceba8b-de19-4db8-b5a7-f5df49bf241f.png?1627708100,https://cards.scryfall.io/art_crop/front/7/7/77ceba8b-de19-4db8-b5a7-f5df49bf241f.jpg?1627708100,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F243293%3Fpage%3D1
0.14,Opulent Palace,6952.4,Land,,,"B,G,U",,,,uncommon,"This land enters tapped.
{T}: Add {B}, {G}, or {U}.",396,https://cards.scryfall.io/png/front/2/1/21cb3b3b-0738-4c2e-a3fc-927fd6b9d3fb.png?1743205041,https://cards.scryfall.io/art_crop/front/2/1/21cb3b3b-0738-4c2e-a3fc-927fd6b9d3fb.jpg?1743205041,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624270%3Fpage%3D1
4.06,Orb of Dragonkind,1869,Artifact,{1}{R},R,"B,G,R,U,W",,,,rare,"{1}, {T}: Add two mana in any combination of colors. Spend this mana only to cast Dragon spells or activate abilities of Dragons.
{R}, {T}, Sacrifice this artifact: Look at the top seven cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",2788,https://cards.scryfall.io/png/front/9/a/9a1c2cdd-353c-4747-bf0e-b995dd37ffca.png?1627706657,https://cards.scryfall.io/art_crop/front/9/a/9a1c2cdd-353c-4747-bf0e-b995dd37ffca.jpg?1627706657,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F243056%3Fpage%3D1
0.18,Orzhov Signet,3542.4,Artifact,{2},,"B,W",,,,common,"{1}, {T}: Add {W}{B}.",139,https://cards.scryfall.io/png/front/9/0/90894726-1940-4291-a05c-b85cefbfa344.png?1743207335,https://cards.scryfall.io/art_crop/front/9/0/90894726-1940-4291-a05c-b85cefbfa344.jpg?1743207335,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624611%3Fpage%3D1
13.02,Overgrown Tomb,15239.4,Land — Swamp Forest,,,"B,G",,,,rare,"({T}: Add {B} or {G}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",76,https://cards.scryfall.io/png/front/4/a/4a297ec1-0a7c-4f67-936b-d9227767e989.png?1702429815,https://cards.scryfall.io/art_crop/front/4/a/4a297ec1-0a7c-4f67-936b-d9227767e989.jpg?1702429815,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F517650%3Fpage%3D1
1.97,Parapet Thrasher,574.2,Creature — Dragon,{2}{R}{R},R,,4,3,Flying,rare,"Flying
Whenever one or more Dragons you control deal combat damage to an opponent, choose one that hasn't been chosen this turn —
• Destroy target artifact that opponent controls.
• This creature deals 4 damage to each other opponent.
• Exile the top card of your library. You may play it this turn.",10663,https://cards.scryfall.io/png/front/6/d/6d3ba135-e8d6-443a-952b-5c93edb4523c.png?1743205812,https://cards.scryfall.io/art_crop/front/6/d/6d3ba135-e8d6-443a-952b-5c93edb4523c.jpg?1743205812,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624922%3Fpage%3D1
